ID_Norme,Cadre,Pilier,Code_Ratio,Titre,Description,Seuil_Minimum,Formule_Calcul,Statut_Implementation,Lien_Officiel
BALE001,Bâle III,Pilier 1,CET1,Ratio de fonds propres CET1 (Common Equity Tier 1),"Ratio de solvabilité de base mesurant les fonds propres de la meilleure qualité (actions ordinaires, réserves) rapportés aux actifs pondérés par les risques.","4,5% minimum + 2,5% coussin de conservation = 7%",CET1 Capital / Risk-Weighted Assets × 100,Obligatoire - Actif depuis 2015,https://www.bis.org/bcbs/basel3.htm
BALE002,Bâle III,Pilier 1,T1,Ratio Tier 1 (Fonds propres de catégorie 1),Mesure élargie incluant CET1 + Additional Tier 1 (AT1 : obligations contingentes convertibles). Capacité d'absorption des pertes en continuité d'exploitation.,6% minimum,(CET1 + AT1) / Risk-Weighted Assets × 100,Obligatoire,https://www.bis.org/bcbs/basel3.htm
BALE003,Bâle III,Pilier 1,T2,Ratio Total Capital (Tier 1 + Tier 2),Ratio global incluant T1 + T2 (dettes subordonnées à long terme). Vision complète de la capacité d'absorption des pertes en cas de liquidation.,8% minimum,(T1 + T2) / Risk-Weighted Assets × 100,Obligatoire,https://www.bis.org/bcbs/basel3.htm
BALE004,Bâle III,Pilier 1,LCR,Ratio de Liquidité à Court Terme (Liquidity Coverage Ratio),Garantit que la banque dispose de suffisamment d'actifs liquides de haute qualité (HQLA) pour survivre à un stress de marché de 30 jours.,100% minimum,HQLA / Net Cash Outflows (30 jours) × 100,Obligatoire depuis 2019,https://www.bis.org/bcbs/basel3.htm
BALE005,Bâle III,Pilier 1,NSFR,Ratio de Financement Stable Net (Net Stable Funding Ratio),Mesure la couverture des besoins de financement à un an par des sources de financement stables. Vision structurelle de la liquidité.,100% minimum,Available Stable Funding / Required Stable Funding × 100,Obligatoire depuis 2021,https://www.bis.org/bcbs/basel3.htm
BALE006,Bâle III,Pilier 1,LR,Ratio de Levier (Leverage Ratio),Filet de sécurité non basé sur les risques : limite le levier excessif. Fonds propres T1 rapportés au total des expositions (bilan + hors-bilan).,"3% minimum (G-SIB : 3,5%)",T1 Capital / Total Exposures × 100,Obligatoire depuis 2018,https://www.bis.org/bcbs/basel3.htm
BALE007,Bâle III,Pilier 2,ICAAP,ICAAP - Processus d'évaluation de l'adéquation du capital interne,Processus interne par lequel la banque évalue elle-même tous ses risques (y compris non couverts par le Pilier 1) et détermine le capital économique nécessaire.,Qualitatif - évalué par superviseur,Documentation interne + stress tests propres,Revue annuelle par superviseur,https://www.bis.org/bcbs/basel3.htm
BALE008,Bâle III,Pilier 2,ILAAP,ILAAP - Processus d'évaluation de l'adéquation de la liquidité interne,Extension de l'ICAAP à la liquidité. La banque évalue son profil de risque de liquidité et son adéquation avec ses buffers disponibles.,Qualitatif - évalué par superviseur,Framework liquidity + scénarios de stress,Revue annuelle par superviseur,https://www.bis.org/bcbs/basel3.htm
BALE009,Bâle III,Pilier 3,DISCLOSURE,Exigences de divulgation (Pilier 3),"Publication obligatoire d'informations sur les fonds propres, les risques et la gouvernance pour permettre la discipline de marché. Rapports au minimum annuels.",Qualitatif + quantitatif,Rapports réglementaires publics (Pillar 3 reports),Obligatoire - publication annuelle,https://www.bis.org/bcbs/basel3.htm
BALE010,Bâle III,Pilier 1,GSIB,Coussin pour les banques d'importance systémique mondiale (G-SIB),"Exigence de capital supplémentaire pour les banques d'importance systémique mondiale, variant de 1% à 3,5% selon la catégorie.","1% à 3,5% en sus du CET1",CET1 additionnel selon score systémique,Actif pour banques G-SIB désignées,https://www.bis.org/bcbs/basel3.htm
BALE011,Bâle II,Pilier 1,CREDIT,Risque de crédit - Méthode standard,"Pondération des actifs selon la qualité de crédit de la contrepartie (notation externe). Pour les pays émergents, pondérations souvent plus élevées.",RWA selon pondérations réglementaires,Exposition × Pondération Risque,Actif - Base pour Bâle III,https://www.bis.org/publ/bcbs128.htm
BALE012,Bâle II,Pilier 1,OPRISK,Risque opérationnel - Indicateur de base,"Exigence de capital pour le risque opérationnel (fraude, pannes, erreurs). Méthode indicateur de base = 15% du revenu brut annuel moyen.",15% du produit brut annuel moyen,0.15 × moyenne sur 3 ans du produit brut,Actif,https://www.bis.org/publ/bcbs128.htm
