ID_Corridor,Corridor,Pays_Origine,Pays_Destination,Region_Destination,Volume_Annuel_USD_M,Part_PIB_Destination_Pct,Nombre_MTA_Actifs,Criticite_OFAC,Criticite_GAFI,Criticite_TRACFIN,Score_Risque_Global,Mesures_Remediation,Controles_Compensatoires,Defis_Specifiques,Tendance_Volume
COR001,USA → Haïti,États-Unis,Haïti,Caraïbes,3800,23.5,47,Critique,Critique,Élevé,9.5/10,"KYC renforcé émetteur + destinataire, Transaction Monitoring temps réel, plafonnement hebdomadaire, déclaration systématique > 3000 USD","Vérification liste SDN OFAC avant chaque transaction, monitoring comportemental, signalement CTR pour > 10 000 USD","Instabilité politique Haïti, gangs, difficultés KYC côté haïtien, risque de sous-déclaration",Hausse +12% an
COR002,USA → Jamaïque,États-Unis,Jamaïque,Caraïbes,2700,13.8,31,Élevé,Élevé,Moyen,7.5/10,"Renforcement KYC côté Jamaïque, screening OFAC quotidien, monitoring des flux > 1 500 USD","Vérification identité biométrique recommandée, déclaration SAR pour comportements suspects","Narco-blanchiment côté jamaïquain, utilisation MTAs pour rapatriement narcodollars",Hausse +8% an
COR003,France → Haïti,France,Haïti,Caraïbes,180,1.1,12,Élevé,Critique,Critique,8.8/10,"Conformité TRACFIN obligatoire, déclaration soupçon systématique pour opérations inhabituelles, coordination avec TRACFIN","Gel avoirs DGT à surveiller, KYC diaspora haïtienne France, reporting TRACFIN renforcé","Double obligation réglementaire France + USA (OFAC), risque de correspondent banking",Stable
COR004,Canada → Haïti,Canada,Haïti,Caraïbes,320,2.0,18,Élevé,Critique,Faible,7.8/10,"KYC approfondi, FINTRAC reporting, monitoring des flux suspects","Coordination FINTRAC Canada + GAFI, surveillance spécifique post-séisme","Faiblesse réglementaire côté haïtien, risque de détournement flux humanitaires",Hausse +15% an
COR005,UK → Nigeria,Royaume-Uni,Nigeria,Afrique,3200,0.7,28,Élevé,Critique,Moyen,8.2/10,"Renforcement KYC biométrique, screening OFAC/HMRC, Transaction Monitoring algorithmique","MLRO UK actif, collaboration NCA, scoring comportemental avancé","Cybercriminalité nigériane (BEC, 419), blanchiment via MTAs légitimes",Hausse +20% an
COR006,France → Sénégal,France,Sénégal,Afrique,620,22.4,22,Faible,Conforme,Élevé,5.2/10,"KYC standard renforcé, monitoring flux > 2 000 €, déclaration TRACFIN si soupçon","Bon cadre GIABA côté sénégalais, Mobile Money (Wave, Orange) à surveiller","Mobile Money non bancaire, interopérabilité insuffisante, cash informel résiduel",Hausse +9% an
COR007,USA → République Dominicaine,États-Unis,République Dominicaine,Caraïbes,10200,9.5,89,Moyen,Conforme,Faible,5.5/10,"KYC standard, screening OFAC, monitoring zones franches","Bon cadre réglementaire RD, collaboration OFAC",Volume très élevé - risque statistique de transactions illicites mêlées au flux légitime,Hausse +5% an
COR008,USA → Cuba,États-Unis,Cuba,Caraïbes,0,0.0,0,Critique,Critique,Critique,10/10,Embargo total : AUCUNE transaction autorisée sans licence OFAC spécifique,Licence OFAC requise pour toute transaction humanitaire/familiale limitée,Embargo total US. Toute transaction est présumée illégale sans licence. Risque maximal pour MTAs,Bloqué - Embargo
COR009,France → Côte d'Ivoire,France,Côte d'Ivoire,Afrique,890,12.7,19,Faible,Conforme,Moyen,4.8/10,"KYC standard, déclaration TRACFIN si soupçon, Mobile Money monitoring","Cadre UEMOA/BCEAO structuré, bon niveau de supervision","Mobile Money (MTN, Orange Money) dominant - traçabilité à améliorer",Hausse +11% an
COR010,USA → Trinité-et-Tobago,États-Unis,Trinité-et-Tobago,Caraïbes,580,2.6,14,Élevé,Élevé,Faible,7.0/10,"KYC renforcé, screening OFAC, monitoring flux Venezuela",Attention aux flux de réexportation vers Venezuela sanctionné,"Risque de transit Venezuela, exposition hydrocarbures, criminalité financière régionale",Stable
COR011,Espagne → RD Congo,Espagne,RD Congo,Afrique,95,0.2,8,Critique,Critique,Élevé,9.2/10,"EDD obligatoire, approbation senior pour toute transaction, gel avoirs DGT à surveiller","Screening ONU + OFAC systématique, rapport SAR systématique","Minerais de conflit, flux groupes armés, corruption systémique - Risque très élevé",Croissance risquée
COR012,Pays-Bas → Nigeria,Pays-Bas,Nigeria,Afrique,280,0.06,11,Élevé,Critique,Moyen,8.0/10,"KYC biométrique, transaction monitoring IA, signalement DNFBPs","Collaboration FIU-NET européen, monitoring comportemental","Cybercrime NL-Nigeria (romance scam, BEC), blanchiment via MTAs néerlandaises",Hausse +18% an
