Code_ISO,Nom_Pays,Emoji_Drapeau,Region,Statut_GAFI,Liste_GAFI_Detail,Risque_OFAC,Sanctions_OFAC_Actives,Score_Corruption_TI,Indice_Derisking,Niveau_Risque_Global,Banques_Correspondantes_Maintenues,Note_Macro,Principales_Vulnerabilites,Population_Millions,PIB_USD_Milliards
HTI,Haïti,🇭🇹,Caraïbes,Liste Grise,Sous surveillance renforcée GAFI depuis 2010 - défaillances structurelles KYC/AML,Élevé,Désignations SDN actives (gangs + politiques),18,Critique - 9.2/10,Critique,Très faible maintien,"PIB très fragile, dépendant des remises diaspora (25% PIB)","Criminalité financière, gangs armés, instabilité politique, flux informels massifs",11.7,14.3
JAM,Jamaïque,🇯🇲,Caraïbes,Liste Grise,Sous surveillance GAFI - progrès notés mais insuffisants en supervision des EPNFD,Moyen,Surveillance OFAC - narco désignations,47,Élevé - 7.1/10,Élevé,Maintien partiel,Économie diversifiée mais exposée au trafic et au blanchiment via le secteur immobilier,"Narcotrafic, blanchiment immobilier, économie informelle",2.9,16.5
TTO,Trinité-et-Tobago,🇹🇹,Caraïbes,Liste Grise,Plan d'action GAFI en cours - faiblesses en supervision et bénéficiaires effectifs,Moyen,Programmes régionaux,42,Élevé - 6.8/10,Élevé,Maintien partiel,Riche en hydrocarbures mais exposition aux flux du Venezuela voisin,"Transit narco, faiblesses superviseurs, risques Venezuela",1.4,22.1
BHS,Bahamas,🇧🇸,Caraïbes,Conforme,Évaluation 2024 - progrès substantiels post-liste grise 2020-2022,Faible,Non désigné,64,Moyen - 4.1/10,Moyen,Maintenu,Centre financier offshore en cours de renforcement réglementaire,"Services financiers offshore, risque résiduel crypto",0.4,12.8
BRB,Barbade,🇧🇧,Caraïbes,Conforme,Évaluation positive - cadre réglementaire mature pour la région,Faible,Non désigné,68,Faible - 2.8/10,Faible,Bien maintenu,"Économie tertiaire stable, hub régional de conformité","Risque résiduel offshore, exposition aux flux caribéens",0.3,5.2
GUY,Guyane,🇬🇾,Caraïbes,Liste Grise,Nouvelles exigences GAFI liées au boom pétrolier - supervision insuffisante,Moyen,Non désigné,40,Élevé - 6.5/10,Élevé,Partiel,Boom pétrolier récent sans cadre réglementaire adapté,"Supervision des flux pétroliers, risque de capture réglementaire",0.8,11.5
SUR,Suriname,🇸🇷,Caraïbes,Liste Grise,Sous surveillance - plan d'action en cours 2023-2025,Élevé,Surveillance régionale,27,Critique - 8.0/10,Critique,Très faible,"Économie fragile, exposition à la criminalité organisée régionale","Narco-transit, faiblesse institutionnelle, blanchiment or",0.6,3.5
DOM,République Dominicaine,🇩🇴,Caraïbes,Conforme,Évaluation 2022 positive - réformes majeures depuis 2018,Moyen,Surveillance zones franches,34,Moyen - 5.2/10,Moyen,Maintenu,Économie dynamique mais risques zones franches et tourisme,"Blanchiment touristique, zones économiques spéciales, flux Haiti",11.1,94.3
CUB,Cuba,🇨🇺,Caraïbes,Liste Noire,Défaillances persistantes + embargo US total,Critique,Embargo total OFAC,46,Critique - 9.8/10,Critique,Aucun correspondant US/EU,"Économie sous embargo total, système financier isolé","Embargo total, isolement bancaire, système SWIFT limité",11.3,107.4
VCT,Saint-Vincent-et-les-Grenadines,🇻🇨,Caraïbes,Liste Grise,Inscrit liste grise GAFI 2022 - défaillances supervision offshore,Élevé,Surveillance narco-liens,24,Critique - 8.5/10,Critique,Très faible,Place offshore sous forte pression réglementaire internationale,"Yachts flag, offshore shells, narco-transit",0.1,0.9
LCA,Sainte-Lucie,🇱🇨,Caraïbes,Conforme,Évaluation récente positive - cadre AML renforcé,Faible,Non désigné,55,Faible - 3.1/10,Faible,Bien maintenu,Économie touristique stable avec supervision bancaire correcte,"Risques touristiques résiduels, flux régionaux",0.2,2.5
ATG,Antigua-et-Barbuda,🇦🇬,Caraïbes,Liste Grise,Défaillances en supervision des EPNFD et passeports citoyenneté,Moyen,Surveillance CBI programs,34,Élevé - 6.2/10,Élevé,Partiel,Programme Citoyenneté par Investissement (CBI) sous pression,"CBI schemes, supervision offshore, risques de réputation",0.1,1.8
