ID_Obligation,Code_Texte,Type_Obligation,Organisme,Titre,Description,Delai_Execution,Entites_Soumises,Sanction_Max,Lien_Officiel
TRF001,L.561-15 CMF,Déclaration de soupçon,TRACFIN,Déclaration de soupçon (DS) au TRACFIN,"Toute opération suspecte de BC ou FT doit être déclarée à TRACFIN sans délai et sans informer le client. S'applique aux établissements financiers, assureurs, notaires, agents immobiliers.","Sans délai, dès la détection du soupçon","Banques, assureurs, PSP, notaires, experts-comptables",5 ans d'emprisonnement + 375 000€ d'amende pour divulgation,https://www.tracfin.gouv.fr
TRF002,L.561-2 CMF,Champ d'application,TRACFIN,Entités assujetties à la LCB-FT,"Liste exhaustive des personnes assujetties au dispositif LCB-FT français : établissements de crédit, prestataires de services de paiement, changeurs manuels, sociétés d'assurance.",Permanent,"Établissements de crédit, PSP, assureurs, changeurs manuels, crypto-prestataires",Sanctions AMF/ACPR selon gravité,https://www.legifrance.gouv.fr
TRF003,L.561-22 CMF,Non-divulgation,TRACFIN,Interdiction de divulgation (Tipping-off),Il est interdit d'informer le client ou un tiers qu'une déclaration de soupçon a été effectuée ou qu'une enquête est en cours. Infraction pénale grave.,Permanent,Toutes entités assujetties,5 ans d'emprisonnement + 375 000€ d'amende,https://www.legifrance.gouv.fr
TRF004,L.562-1 CMF,Gel des avoirs,DGT,Gel des avoirs par arrêté ministériel (DGT),La Direction Générale du Trésor peut ordonner le gel immédiat des fonds et ressources économiques de toute personne ou entité désignée par arrêté ministériel pour des motifs terroristes.,Exécution immédiate dès publication au Journal Officiel,Toutes banques et IF opérant en France,Sanctions pénales + responsabilité civile de l'établissement,https://www.tresor.economie.gouv.fr/Fiches-pays/sanctions-financieres
TRF005,R.561-31 CMF,Conservation,TRACFIN/AMF,Conservation des pièces justificatives,"Obligation de conserver pendant 5 ans toutes les pièces d'identité, justificatifs KYC et enregistrements de transactions après la fin de la relation d'affaires.",5 ans après fin de la relation,"Banques, assureurs, PSP, Conseils",Sanctions ACPR jusqu'à 100M€ ou 10% du CA,https://www.legifrance.gouv.fr
DGT001,Arrêtés DGT,Sanctions nationales,DGT,Arrêtés de gel des avoirs publiés par la DGT,La DGT publie régulièrement des arrêtés de gel des avoirs visant des personnes physiques et morales en application des règlements européens et résolutions ONU.,Publication JO + exécution immédiate,Toutes IF françaises,Responsabilité pénale de l'établissement et dirigeants,https://www.tresor.economie.gouv.fr
DGT002,Règl. UE 2580/2001,Sanctions européennes,DGT/SGAE,Sanctions financières de l'UE contre le terrorisme,Application en France des listes de gel de l'Union Européenne. Concerne notamment les financeurs du terrorisme et entités liées à des régimes sous sanctions.,Immédiate dès entrée en vigueur du règlement UE,Toutes IF de l'UE,Sanctions nationales selon transposition,https://www.consilium.europa.eu
TRF006,5ème Directive AML (UE 2018/843),Directive européenne,ACPR/AMF,5ème Directive Anti-Blanchiment,"Transposée en droit français. Renforce les obligations de vigilance : registre des bénéficiaires effectifs, inclusion des crypto-actifs, abaissement des seuils.",Appliquée depuis 2020,"Établissements de crédit, conseillers, crypto-prestataires",Sanctions ACPR / AMF,https://eur-lex.europa.eu
TRF007,6ème Directive AML (UE 2018/1673),Directive européenne,ACPR,6ème Directive Anti-Blanchiment,Harmonisation des infractions de BC. Étend la responsabilité pénale aux personnes morales. Définit 22 infractions sous-jacentes au blanchiment.,Appliquée depuis 2021,"Toutes IF, personnes morales",Peines minimales 4 ans + responsabilité morale,https://eur-lex.europa.eu
TRF008,L.561-5 CMF,Vigilance clientèle,TRACFIN,Obligation de vigilance clientèle (KYC),"Identification et vérification de l'identité du client, du bénéficiaire effectif, compréhension de l'objet et de la nature de la relation d'affaires avant son entrée en relation.",Avant entrée en relation d'affaires,Toutes IF assujetties,Sanctions ACPR selon manquement,https://www.legifrance.gouv.fr
