Code_ISO,Nom_Pays,Emoji_Drapeau,Region,Statut_GAFI,Liste_GAFI_Detail,Risque_OFAC,Sanctions_OFAC_Actives,Score_Corruption_TI,Indice_Derisking,Niveau_Risque_Global,Banques_Correspondantes_Maintenues,Note_Macro,Principales_Vulnerabilites,Population_Millions,PIB_USD_Milliards
NGA,Nigeria,🇳🇬,Afrique,Liste Grise,Sous surveillance GAFI depuis 2023 - lacunes en KYC et supervision Fintech,Élevé,Désignations cybercrime + narco SDN,24,Critique - 8.8/10,Critique,Très réduit,Grande économie africaine mais corruption systémique et criminalité financière élevée,"Fraude 419, cybercriminalité, oil bunkering, financement terroriste (Boko Haram)",218.5,472.6
ZAF,Afrique du Sud,🇿🇦,Afrique,Liste Grise,Inscrite liste grise GAFI 2023 - progrès en cours,Moyen,Non désigné,43,Élevé - 6.9/10,Élevé,Maintenu partiel,Économie la plus sophistiquée d'Afrique mais corruption post-Zuma et faiblesses supervision,"Corruption d'État, blanchiment immobilier, crypto non régulé",59.8,405.7
KEN,Kenya,🇰🇪,Afrique,Conforme,Sortie liste grise 2021 - réformes majeures réussies,Faible,Non désigné,31,Moyen - 5.5/10,Moyen,Maintenu,Hub financier est-africain avec Fintech développé (M-Pesa),"Risques terrorisme (Al-Shabaab), flux frontaliers informels, Mobile Money",54.0,110.3
ETH,Éthiopie,🇪🇹,Afrique,Liste Grise,Sous surveillance - faiblesses majeures cadre AML/CFT,Élevé,Non désigné,38,Élevé - 7.2/10,Élevé,Très réduit,"Système bancaire peu développé, forte exposition aux conflits armés internes","Flux conflits Tigré, système hawala, supervision bancaire embryonnaire",123.4,111.3
SEN,Sénégal,🇸🇳,Afrique,Conforme,Évaluation GIABA positive - cadre UEMOA solide,Faible,Non désigné,43,Moyen - 4.8/10,Moyen,Maintenu,"Économie en croissance, cadre BCEAO supervisé, hub sous-régional","Transit narco régional, économie informelle, risques Mali/Guinée",17.2,27.7
CIV,Côte d'Ivoire,🇨🇮,Afrique,Conforme,Cadre GIABA/UEMOA - progrès notés,Faible,Non désigné,37,Moyen - 5.0/10,Moyen,Maintenu,Première économie de l'UEMOA - hub commercial et financier,"Blanchiment cacao, économie informelle, flux frontaliers",27.0,70.0
CMR,Cameroun,🇨🇲,Afrique,Liste Grise,Faiblesses en supervision EPNFD et bénéficiaires effectifs,Moyen,Non désigné,26,Élevé - 6.8/10,Élevé,Partiel,"Exposition aux conflits armés (anglophone crisis, Boko Haram)","Économie informelle, conflits, faiblesses superviseurs CEMAC",27.0,42.0
MLI,Mali,🇲🇱,Afrique,Liste Noire,Sous sanctions UE + GAFI - gouvernance effondrée,Critique,Désignations terrorism + junta,27,Critique - 9.7/10,Critique,Suspendu,Effondrement gouvernance post-coup - flux terroristes Sahel,"Wagner, jihadistes, trafic or/armes, sanctions UE/CEDEAO",22.7,17.6
GHA,Ghana,🇬🇭,Afrique,Conforme,Bonne évaluation GIABA - supervision bancaire améliorée,Faible,Non désigné,43,Faible - 3.5/10,Faible,Bien maintenu,Économie stable bien que traversant une crise de la dette (2023),"Risques galamsey (or artisanal), crise dette souveraine résolue",32.0,74.3
TUN,Tunisie,🇹🇳,Afrique,Liste Grise,Sous surveillance GAFI depuis 2017 - progrès insuffisants en FT,Moyen,Non désigné,40,Élevé - 6.5/10,Élevé,Réduit,"Difficultés économiques post-révolution, risque terroriste résiduel","Financement terrorisme, crise économique, instabilité politique",11.9,46.8
MAR,Maroc,🇲🇦,Afrique,Conforme,Sortie liste grise 2021 - cadre réglementaire renforcé,Faible,Non désigné,38,Moyen - 4.2/10,Moyen,Maintenu,Hub financier Afrique du Nord avec projets d'expansion africaine,"Blanchiment immobilier, narco résiduel, flux diaspora",37.5,130.9
